3,2,5,10,25,139,189,245,153,136,82,45,45,41,33,42,33,24,34,35,24,23,16,13,6,
82,195,168,138,122,79,91,70,46,50,41,51,36,34,31,31,30,25,21,15,19,10,9,7,1,
0,4,42,108,197,210,161,137,90,76,46,39,35,39,30,32,30,28,23,19,15,18,10,6,5,
1,1,4,13,100,179,194,209,162,95,50,52,39,38,38,33,33,38,27,28,20,21,16,7,5,
55,158,189,203,129,109,59,54,45,46,36,31,45,30,31,32,37,27,26,17,17,10,9,2,0,
70,147,174,168,146,114,77,63,47,44,41,33,28,30,30,28,26,24,25,20,16,12,13,7,3,
1,2,6,11,75,165,263,189,173,100,68,52,46,32,36,32,31,28,27,26,16,11,9,6,1,
144,217,137,135,87,91,63,51,51,37,40,39,41,37,30,35,32,28,24,18,18,15,9,6,4,
203,217,137,92,79,74,49,50,40,48,37,39,38,47,35,37,30,29,27,19,14,13,6,8,2,
207,158,162,102,79,66,72,52,42,40,38,43,38,38,36,35,41,21,26,24,16,12,8,8,3,
103,162,140,126,110,98,80,73,53,46,43,47,38,41,34,38,28,31,25,16,13,14,12,5,1,
3,4,16,52,69,94,103,130,160,95,118,112,81,56,52,48,34,37,31,31,24,21,13,6,3,
0,0,0,9,28,60,61,64,73,109,88,80,81,112,78,92,79,88,62,84,                       61,60,50,28,25,
4,5,19,45,46,66,93,85,88,106,108,110,91,89,78,68,68,40,41,29,30,21,18,18,12,
7,18,67,135,154,186,190,142,116,82,70,52,45,33,40,22,13,3,2,2,1,1,1,1,1,
94,116,142,122,102,92,89,87,65,48,56,50,44,30,37,32,30,22,23,19,16,13,14,9,5,
40,81,153,222,148,102,122,87,57,38,45,36,36,28,35,30,29,18,30,21,16,16,9,6,4,
119,174,136,146,122,87,76,61,57,45,52,45,40,43,34,35,25,26,27,15,14,9,9,4,1,
1,2,5,11,41,60,107,113,130,180,120,96,93,84,51,44,43,38,32,34,28,24,21,20,16,
7,47,68,106,117,142,176,166,145,127,88,61,50,40,22,9,5,0,0,0,0,0,0,0,0,
3,13,30,50,54,94,83,95,126,129,127,107,98,83,72,51,48,31,35,18,16,6,3,2,1,
